None,None,None,None,None,None,None,None,None,None,Bazzi,None,None,None,None,None,Mine,Bazzi,LyricsData/Mine_Bazzi.txt,October 12 2017,None,None,None,ImgData/Mine_Bazzi.jpg,,"229,126",22,None,None,None,None,None,None,None,None,None,None
Ex Battalion,None,None,None,None,None,None,None,None,None,Endrico Recoy,None,None,None,None,None,Hayaan Mo Sila,Ex Battalion,LyricsData/Hayaan-Mo-Sila_Ex-Battalion.txt,January 12 2018,None,None,None,ImgData/Hayaan-Mo-Sila_Ex-Battalion.jpg,O.C. Dawgs,"158,203",7,None,None,None,None,None,None,None,None,None,None
Tank God,Louis Bell,None,None,None,None,None,None,None,None,Tank God,Carl Austin Rosen,Joey Bada$$,Louis Bell,21 Savage,Post Malone,​​rockstar,Post Malone,LyricsData/​​rockstar_Post-Malone.txt,September 15 2017,Louis Bell,Manny Marroquin,Rockstar (Post Malone Parody) by Dan Bull&5 Star by Lil Wayne (Ft. Nicki Minaj),ImgData/​​rockstar_Post-Malone.jpg,21 Savage,"4,808,571",361,None,None,Louis Bell,Tank God,Kramer Morgenthau,Republic Records,Quad Studios,None,5 Star by Lil Wayne (Ft. Nicki Minaj),None
Hey Ocean!,None,None,None,None,David Beckingham,David Vertesi,Ashleigh Ball,None,None,Hey Ocean!,None,None,None,None,None,Sleepwalker,Hey Ocean!,LyricsData/Sleepwalker_Hey-Ocean!.txt,July 26 2017,None,None,None,ImgData/Sleepwalker_Hey-Ocean!.jpg,Ashleigh Ball,None,2,None,None,None,None,None,None,None,None,None,None
Laz McCluskey,None,None,None,None,None,None,None,None,None,Laz McCluskey,None,None,None,None,None,Tyler,Bubblegum Lemonade,LyricsData/Tyler_Bubblegum-Lemonade.txt,None,None,None,None,ImgData/Tyler_Bubblegum-Lemonade.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Maps,Hey Ocean!,LyricsData/Maps_Hey-Ocean!.txt,None,None,None,None,ImgData/Maps_Hey-Ocean!.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
Laz McCluskey,None,None,None,None,None,None,None,None,None,Laz McCluskey,None,None,None,None,None,Wishing It Were Friday,Bubblegum Lemonade,LyricsData/Wishing-It-Were-Friday_Bubblegum-Lemonade.txt,November 1 2016,None,None,None,ImgData/Wishing-It-Were-Friday_Bubblegum-Lemonade.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Be My Baby,Hey Ocean!,LyricsData/Be-My-Baby_Hey-Ocean!.txt,None,None,None,None,ImgData/Be-My-Baby_Hey-Ocean!.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,"Well If The Earths Are Stopped, Then The Fox Faces The Hounds",Phinehas,"LyricsData/Well-If-The-Earths-Are-Stopped,-Then-The-Fox-Faces-The-Hounds_Phinehas.txt",December 24 2008,None,None,None,"ImgData/Well-If-The-Earths-Are-Stopped,-Then-The-Fox-Faces-The-Hounds_Phinehas.jpg",,None,2,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Islands,Hey Ocean!,LyricsData/Islands_Hey-Ocean!.txt,None,None,None,None,ImgData/Islands_Hey-Ocean!.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Grace Disguised By Darkness,Phinehas,LyricsData/Grace-Disguised-By-Darkness_Phinehas.txt,July 19 2011,None,None,None,ImgData/Grace-Disguised-By-Darkness_Phinehas.jpg,,None,4,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Big Blue Wave,Hey Ocean!,LyricsData/Big-Blue-Wave_Hey-Ocean!.txt,None,None,None,None,ImgData/Big-Blue-Wave_Hey-Ocean!.jpg,,None,3,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Jolene,Hey Ocean!,LyricsData/Jolene_Hey-Ocean!.txt,None,None,None,None,ImgData/Jolene_Hey-Ocean!.jpg,,None,2,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Last Mistake,Hey Ocean!,LyricsData/Last-Mistake_Hey-Ocean!.txt,January 29 2013,None,None,None,ImgData/Last-Mistake_Hey-Ocean!.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
DSM13,SEMDÓ,None,None,None,PEZT,ABISMO,None,None,None,ABISMO,PEZT,SEMDÓ,None,None,None,Creep,SEMDÓ,LyricsData/Creep_SEMDÓ.txt,January 1 2017,None,None,None,ImgData/Creep_SEMDÓ.jpg,ABISMO,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Interlude (Gymnopedie No. 1),Anamanaguchi,LyricsData/Interlude-(Gymnopedie-No.-1)_Anamanaguchi.txt,None,None,None,None,ImgData/Interlude-(Gymnopedie-No.-1)_Anamanaguchi.jpg,,None,2,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,SPF 420,Anamanaguchi,LyricsData/SPF-420_Anamanaguchi.txt,None,None,None,None,ImgData/SPF-420_Anamanaguchi.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,U n Me,Anamanaguchi,LyricsData/U-n-Me_Anamanaguchi.txt,None,None,None,None,ImgData/U-n-Me_Anamanaguchi.jpg,,None,"1
        
          contributor",None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Meow,Anamanaguchi,LyricsData/Meow_Anamanaguchi.txt,None,None,None,None,ImgData/Meow_Anamanaguchi.jpg,,None,3,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,(T-T)b,Anamanaguchi,LyricsData/(T-T)b_Anamanaguchi.txt,None,None,None,None,ImgData/(T-T)b_Anamanaguchi.jpg,,None,2,None,None,None,None,None,None,None,None,None,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Japan Air,Anamanaguchi,LyricsData/Japan-Air_Anamanaguchi.txt,None,None,None,None,ImgData/Japan-Air_Anamanaguchi.jpg,,None,3,None,None,None,None,None,None,None,None,None,None
