Artist,Album,Year,Song,Feature1,Feature2,Feature3,Feature4
The Cranberries,Uncertain,1991,Uncertain,None,None,None,None
The Cranberries,Uncertain,1991,Nothing Left At All,None,None,None,None
The Cranberries,Uncertain,1991,Pathetic Senses,None,None,None,None
The Cranberries,Uncertain,1991,Them,None,None,None,None
The Cranberries,Wake Up and Smell the Coffee,2001,Never Grow Old,None,None,None,None
The Cranberries,Wake Up and Smell the Coffee,2001,Analyse,None,None,None,None
The Cranberries,Wake Up and Smell the Coffee,2001,Time Is Ticking Out,None,None,None,None
The Cranberries,Wake Up and Smell the Coffee,2001,Dying Inside,None,None,None,None
The Cranberries,Wake Up and Smell the Coffee,2001,This Is the Day,None,None,None,None
The Cranberries,Wake Up and Smell the Coffee,2001,The Concept,None,None,None,None
The Cranberries,Wake Up and Smell the Coffee,2001,Pretty Eyes,None,None,None,None
The Cranberries,Wake Up and Smell the Coffee,2001,I Really Hope,None,None,None,None
The Cranberries,Wake Up and Smell the Coffee,2001,Every Morning,None,None,None,None
The Cranberries,Wake Up and Smell the Coffee,2001,Do You Know,None,None,None,None
The Cranberries,Wake Up and Smell the Coffee,2001,Carry On,None,None,None,None
The Cranberries,Wake Up and Smell the Coffee,2001,Chocolate Brown,None,None,None,None
The Cranberries,Wake Up and Smell the Coffee,2001,Cape Town,None,None,None,None
The Cranberries,Wake Up and Smell the Coffee,2001,In The Ghetto,None,None,None,None
The Cranberries,Wake Up and Smell the Coffee,2001,Many Days,None,None,None,None
The Cranberries,Wake Up and Smell the Coffee,2001,Wake Up and Smell the Coffee,None,None,None,None
The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",1993,I Still Do,None,None,None,None
The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",1993,Dreams,None,None,None,None
The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",1993,Sunday,None,None,None,None
The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",1993,Pretty,None,None,None,None
The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",1993,Waltzing Back,None,None,None,None
The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",1993,Not Sorry,None,None,None,None
The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",1993,Linger,None,None,None,None
The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",1993,Wanted,None,None,None,None
The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",1993,Still Can't...,None,None,None,None
The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",1993,I Will Always,None,None,None,None
The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",1993,How,None,None,None,None
The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",1993,Put Me Down,None,None,None,None
The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",1993,Reason,None,None,None,None
The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",1993,Them,None,None,None,None
The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",1993,What You Were,None,None,None,None
The Cranberries,"Everybody Else Is Doing It, So Why Can't We?",1993,Liar,None,None,None,None
The Cranberries,Roses,2012,Conduct,None,None,None,None
The Cranberries,Roses,2012,Tomorrow,None,None,None,None
The Cranberries,Roses,2012,Fire & Soul,None,None,None,None
The Cranberries,Roses,2012,Raining in My Heart,None,None,None,None
The Cranberries,Roses,2012,Losing My Mind,None,None,None,None
The Cranberries,Roses,2012,Schizophrenic Playboy,None,None,None,None
The Cranberries,Roses,2012,Waiting in Walthamstow,None,None,None,None
The Cranberries,Roses,2012,Astral Projections,None,None,None,None
The Cranberries,Roses,2012,So Good,None,None,None,None
The Cranberries,Roses,2012,Roses,None,None,None,None
The Cranberries,Roses,2012,Always,None,None,None,None
The Cranberries,Roses,2012,Perfect World,None,None,None,None
The Cranberries,Roses,2012,Salvation,None,None,None,None
The Cranberries,Roses,2012,Desperate Andy,None,None,None,None
The Cranberries,Roses,2012,Wanted,None,None,None,None
The Cranberries,Roses,2012,Show Me,None,None,None,None
The Cranberries,Roses,2012,I Can't Be With You,None,None,None,None
Cypress Hill,Till Death Do Us Part,2004,Another Body Drops,None,None,None,None
Cypress Hill,Till Death Do Us Part,2004,Till Death Comes,None,None,None,None
Cypress Hill,Till Death Do Us Part,2004,Latin Thugs (Ft.åÊTegoåÊCalderÌ_n),TegoåÊCalderÌ_n,None,None,None
Cypress Hill,Till Death Do Us Part,2004,Ganja Bus (Ft.åÊDamianåÊMarley),DamianåÊMarley,None,None,None
Cypress Hill,Cypress Hill III: Temples of Boom,1995,Spark Another Owl,None,None,None,None
Cypress Hill,Till Death Do Us Part,2004,Busted in the Hood,None,None,None,None
Cypress Hill,Till Death Do Us Part,2004,Money,None,None,None,None
Cypress Hill,Till Death Do Us Part,2004,Never Know,None,None,None,None
Cypress Hill,Cypress Hill III: Temples of Boom,1995,Throw Your Set in the Air,None,None,None,None
Cypress Hill,Cypress Hill III: Temples of Boom,1995,Stoned Raiders,None,None,None,None
Cypress Hill,Cypress Hill III: Temples of Boom,1995,Illusions,None,None,None,None
Cypress Hill,Till Death Do Us Part,2004,Last Laugh (Ft.åÊProdigyåÊof Mobb Deep & TwinåÊGambino),ProdigyåÊof Mobb Deep,TwinåÊGambino,None,None
Cypress Hill,Till Death Do Us Part,2004,Bong Hit,None,None,None,None
Cypress Hill,Till Death Do Us Part,2004,What's Your Number? (Ft.åÊTimåÊArmstrong),TimåÊArmstrong,None,None,None
Cypress Hill,Till Death Do Us Part,2004,Once Again,None,None,None,None
Cypress Hill,Cypress Hill III: Temples of Boom,1995,Killa Hill Niggas (Ft.åÊRZA & U-God),RZA,U-God,None,None
RZA,Money,2000,Cash,None,None,None,None
RZA,Money,2000,Rules,None,None,None,None
RZA,Money,2000,Everything,None,None,None,None
RZA,Money,2000,Around Me,None,None,None,None
